epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,7267.2,1.17484,0.52207,0.93285,0.88129,0.81909,0.86935,0.50508,1.45171,0.62104,1.09911,0.001274,0.001274,0.001274
57,7500.05,1.17997,0.52672,0.93401,0.88156,0.82515,0.86957,0.50653,1.44182,0.6192,1.09519,0.0012608,0.0012608,0.0012608
58,7616.61,1.17272,0.52197,0.92996,0.88829,0.8208,0.87033,0.5067,1.44457,0.62218,1.09071,0.0012476,0.0012476,0.0012476
59,7693.48,1.16781,0.51921,0.93255,0.87829,0.82768,0.86988,0.50608,1.44049,0.62213,1.09965,0.0012344,0.0012344,0.0012344
60,7857.17,1.15845,0.51379,0.93027,0.88554,0.82186,0.8715,0.50894,1.44358,0.61735,1.09459,0.0012212,0.0012212,0.0012212
61,8004.8,1.14515,0.51186,0.92545,0.88184,0.81359,0.86783,0.50256,1.46091,0.63363,1.10628,0.001208,0.001208,0.001208
62,8061.8,1.15214,0.51318,0.92815,0.88777,0.81239,0.86045,0.50105,1.45624,0.62431,1.09949,0.0011948,0.0011948,0.0011948
63,8140.07,1.15265,0.51385,0.92714,0.87607,0.82196,0.86827,0.50167,1.4638,0.63173,1.10598,0.0011816,0.0011816,0.0011816
64,8210.31,1.14634,0.5086,0.92211,0.88715,0.82001,0.86914,0.50419,1.45392,0.6155,1.103,0.0011684,0.0011684,0.0011684
65,8300.51,1.1453,0.50699,0.92464,0.88068,0.82713,0.86834,0.50105,1.46379,0.62565,1.10609,0.0011552,0.0011552,0.0011552
66,8337.44,1.12892,0.50205,0.92389,0.88273,0.82087,0.86239,0.49904,1.46762,0.6195,1.10468,0.001142,0.001142,0.001142
67,8424.56,1.1422,0.50794,0.9277,0.88348,0.83018,0.87255,0.50621,1.45641,0.61694,1.1002,0.0011288,0.0011288,0.0011288
68,8480.61,1.12234,0.50101,0.91876,0.88591,0.82463,0.8704,0.50581,1.45687,0.61672,1.10527,0.0011156,0.0011156,0.0011156
69,8535.73,1.1252,0.49966,0.91825,0.88937,0.81576,0.86293,0.50232,1.45433,0.62557,1.10475,0.0011024,0.0011024,0.0011024
70,8653.03,1.12065,0.49703,0.91836,0.88565,0.82276,0.86218,0.50048,1.46467,0.61964,1.10932,0.0010892,0.0010892,0.0010892
71,8762.34,1.1088,0.49321,0.91917,0.88262,0.81435,0.86555,0.49778,1.47037,0.62802,1.10871,0.001076,0.001076,0.001076
72,9293.03,1.11762,0.49716,0.91968,0.88169,0.82183,0.86936,0.50343,1.46176,0.61945,1.10805,0.0010628,0.0010628,0.0010628
73,9364.23,1.1144,0.49438,0.91747,0.87972,0.82372,0.86932,0.50172,1.47587,0.61985,1.11032,0.0010496,0.0010496,0.0010496
74,9507.28,1.1033,0.48982,0.9134,0.87972,0.82822,0.86899,0.50251,1.46256,0.62122,1.1092,0.0010364,0.0010364,0.0010364
75,9589.8,1.0977,0.48781,0.91428,0.88387,0.82321,0.86385,0.50078,1.46537,0.61413,1.10532,0.0010232,0.0010232,0.0010232
76,9642.78,1.10248,0.49021,0.91247,0.88283,0.82124,0.86605,0.49863,1.47136,0.62441,1.12059,0.00101,0.00101,0.00101
77,9690.69,1.11104,0.49533,0.91487,0.88654,0.81718,0.86759,0.50105,1.47124,0.61612,1.10801,0.0009968,0.0009968,0.0009968
78,9771.44,1.09951,0.48903,0.91073,0.88326,0.82545,0.86917,0.503,1.46927,0.62984,1.1145,0.0009836,0.0009836,0.0009836
